,Actual,Predicted
854,125013148,92546148.49024962
855,109982327,92546148.49024962
856,103221430,92546148.49024962
857,91843275,92546148.49024962
858,110612672,92546148.49024962
859,134294447,92546148.49024962
860,122675954,92546148.49024962
861,111535217,92546148.49024962
862,83034043,92546148.49024962
863,84476347,92546148.49024962
864,95498597,92546148.49024962
865,86759478,92546148.49024962
866,81202987,92546148.49024962
867,120831762,92546148.49024962
868,111346705,92546148.49024962
869,104545762,92546148.49024962
870,103844008,92546148.49024962
871,92739461,92546148.49024962
872,78841917,92546148.49024962
873,111747116,92546148.49024962
874,108645412,92546148.49024962
875,99806173,92546148.49024962
876,85906974,92546148.49024962
877,82243119,92546148.49024962
878,134334869,92546148.49024962
879,119660758,92546148.49024962
880,107920944,92546148.49024962
881,102129004,92546148.49024962
882,85544644,92546148.49024962
883,85391528,92546148.49024962
884,87391684,92546148.49024962
885,106524518,92546148.49024962
886,126325696,92546148.49024962
887,97146832,92546148.49024962
888,108214358,92546148.49024962
889,77271428,92546148.49024962
890,83846726,92546148.49024962
891,73178014,92546148.49024962
892,75580637,92546148.49024962
893,74228615,92546148.49024962
894,113186227,92546148.49024962
895,81804043,92546148.49024962
896,77654838,92546148.49024962
897,81562127,92546148.49024962
898,116650594,92546148.49024962
899,82950141,92546148.49024962
900,123161960,92546148.49024962
901,143157603,92546148.49024962
902,104423320,92546148.49024962
903,103232675,92546148.49024962
904,84532407,92546148.49024962
905,94515987,92546148.49024962
906,64722669,92546148.49024962
907,100245310,92546148.49024962
908,96999956,92546148.49024962
909,82439718,92546148.49024962
910,96098830,92546148.49024962
911,86868117,92546148.49024962
912,107097564,92546148.49024962
913,124545104,92546148.49024962
914,181178020,92546148.49024962
915,126427521,92546148.49024962
916,109815725,92546148.49024962
917,243869678,92546148.49024962
918,127031787,92546148.49024962
919,92829719,92546148.49024962
920,89148041,92546148.49024962
921,75491539,92546148.49024962
922,84390253,92546148.49024962
923,75045854,92546148.49024962
924,79969488,92546148.49024962
925,65950292,92546148.49024962
926,72627178,92546148.49024962
927,67018903,92546148.49024962
928,86407422,92546148.49024962
929,79662993,92546148.49024962
930,59812220,92546148.49024962
931,77445845,92546148.49024962
932,61727425,92546148.49024962
933,115266512,92546148.49024962
934,88313477,92546148.49024962
935,71975496,92546148.49024962
936,65584478,92546148.49024962
937,59736620,92546148.49024962
938,54782649,92546148.49024962
939,77784755,92546148.49024962
940,67314602,92546148.49024962
941,68568920,92546148.49024962
942,60056340,92546148.49024962
943,57953756,92546148.49024962
944,69887024,92546148.49024962
945,56244932,92546148.49024962
946,50869682,92546148.49024962
947,64761928,92546148.49024962
948,90389446,92546148.49024962
949,118984122,92546148.49024962
950,82038194,92546148.49024962
951,109786083,92546148.49024962
952,68982265,92546148.49024962
953,55893139,92546148.49024962
954,63029482,92546148.49024962
955,61992070,92546148.49024962
956,63678265,92546148.49024962
957,95737066,92546148.49024962
958,72746521,92546148.49024962
959,95438068,92546148.49024962
960,135691395,92546148.49024962
961,205047920,92546148.49024962
962,166561471,92546148.49024962
963,154501152,92546148.49024962
964,157219580,92546148.49024962
965,160742516,92546148.49024962
966,128519430,92546148.49024962
967,221707273,92546148.49024962
968,155955773,92546148.49024962
969,146912920,92546148.49024962
970,126332470,92546148.49024962
971,115584810,92546148.49024962
972,110869037,92546148.49024962
973,87403903,92546148.49024962
974,101225430,92546148.49024962
975,111928192,92546148.49024962
976,167942939,92546148.49024962
977,100636466,92546148.49024962
978,94604145,92546148.49024962
979,129201789,92546148.49024962
980,100560334,92546148.49024962
981,67497011,92546148.49024962
982,83861898,92546148.49024962
983,82880120,92546148.49024962
984,100308836,92546148.49024962
985,73783942,92546148.49024962
986,71159778,92546148.49024962
987,65033874,92546148.49024962
988,58648274,92546148.49024962
989,64044903,92546148.49024962
990,76247387,92546148.49024962
991,70250014,92546148.49024962
992,89848530,92546148.49024962
993,88765122,92546148.49024962
994,76435222,92546148.49024962
